Job Role,Job description,Required skills,Years of experience required,Company name,Location,Date posted
Project Manager,"Taking direction from colleagues to ensure the project is aligned with broader account strategies, however, for new customers the project manager may be the…","Taking direction from colleagues to ensure the project is aligned with broader account strategies, however, for new customers the project manager may be the…",5+ years,Redcentric plc,Hybrid remote in Bedford,2 weeks ago
Assistant Project Manager,"Plan and define project steps or schedules, consistent with defined review milestones and priorities, to contribute to the design of the overall project plan.","Plan and define project steps or schedules, consistent with defined review milestones and priorities, to contribute to the design of the overall project plan.",3 years,Highways England,South West,2 days ago
Project Manager,"We welcome qualified and experienced project managers from a range of management backgrounds, both within and beyond the environmental field.","We welcome qualified and experienced project managers from a range of management backgrounds, both within and beyond the environmental field.",1 year,Natural England,Woodchester,2 weeks ago
Project Engineer,"Analysis of process performance data to justify improvement actions.
Specific activities will vary dependant on the type of project:","Analysis of process performance data to justify improvement actions.
Specific activities will vary dependant on the type of project:",5+ years,RENISHAW PLC,Aberdeen,3 days ago
Project Engineer,The Project Engineer will be part of a team tasked with the delivery of Opex and Capex project scopes through all project stages (Appraisal to Execution) within…,The Project Engineer will be part of a team tasked with the delivery of Opex and Capex project scopes through all project stages (Appraisal to Execution) within…,3+ years,Orion,Warton,1 week ago
Project Manager,"Qualified Project Management practitioner or equivalent experience.
Developing own project and priorities to achieve goals.
What you’ll be doing:","Qualified Project Management practitioner or equivalent experience.
Developing own project and priorities to achieve goals.
What you’ll be doing:",5+ years,BAE Systems,Hammersmith,2 days ago
IT Project Manager,This will not only involve the production of detailed plans and project documentation but also continual leadership of the project team through the provision of…,This will not only involve the production of detailed plans and project documentation but also continual leadership of the project team through the provision of…,3 years,Harrods,London SE1,3 days ago
Senior Project Manager - Perioperative,"Manage project team to develop, refine and implement project data collection systems that will provide accurate and timely data, including quantitative and…","Manage project team to develop, refine and implement project data collection systems that will provide accurate and timely data, including quantitative and…",1 year,Guy's and St Thomas' NHS Foundation Trust,London,3 hours ago
GIS Data Analyst,"The role will be a Subject Matter Expert (SME) on GIS data management such as data production, content publishing, and compliance of data quality & assurance…","The role will be a Subject Matter Expert (SME) on GIS data management such as data production, content publishing, and compliance of data quality & assurance…",5+ years,High Speed Two (HS2),Hybrid remote in Basingstoke,6 days ago
Service Delivery Manager - Data,"Strong experience within Service Delivery across IT and Data specifically supporting in delivering and supporting data warehouse, data lake, reporting and data…","Strong experience within Service Delivery across IT and Data specifically supporting in delivering and supporting data warehouse, data lake, reporting and data…",3+ years,The AA,Remote in Basingstoke,2 weeks ago
Project Manager,Evaluating the success of the project against its benchmarking and sharing lessons or best practice with other organisations or project managers.,Evaluating the success of the project against its benchmarking and sharing lessons or best practice with other organisations or project managers.,5+ years,Zebra Technologies,Manchester,3 days ago
Project Manager - Healthcare projects,"As the project manager, you will work on multiple projects, running complex projects or programmes.
With new projects secured and a strong pipeline of…","As the project manager, you will work on multiple projects, running complex projects or programmes.
With new projects secured and a strong pipeline of…",3 years,Mace,West Yorkshire,1 week ago
Data Engineer,"For more information, please call Drew on 07795 574 922 or email Drew@coregroup.org.uk.
Core Group are looking for Data Engineers in the Leeds area to start…","For more information, please call Drew on 07795 574 922 or email Drew@coregroup.org.uk.
Core Group are looking for Data Engineers in the Leeds area to start…",1 year,Core Group,Doncaster,2 days ago
Transformation Project Manager (SEND),"For further details or an informal chat please contact: martyn.owen@doncaster.gov.uk.
Based at: Civic Office , Doncaster.
Closing date: 2nd April 2023.","For further details or an informal chat please contact: martyn.owen@doncaster.gov.uk.
Based at: Civic Office , Doncaster.
Closing date: 2nd April 2023.",5+ years,Doncaster City Council,Exeter,1 week ago
JockeyCam Data Analyst (KTP Associate) P87142,"An upper second or first class degree and/or Masters (or PhD at Grade F) in computer science, mechanical or electrical engineering, data science, biomechanics,…","An upper second or first class degree and/or Masters (or PhD at Grade F) in computer science, mechanical or electrical engineering, data science, biomechanics,…",3+ years,University of Exeter,Reading RG31,2 days ago
Junior Data Analyst,"Investigate data requirements, identify data gaps, research sources and provide recommendations/solutions to support the needs of the team or department.","Investigate data requirements, identify data gaps, research sources and provide recommendations/solutions to support the needs of the team or department.",5+ years,RAC,Stockport,1 day ago
Project Engineer (ISV),"A proven track record of contributing to major project work.
Qualification in an engineering discipline or clear demonstration of relevant experience.","A proven track record of contributing to major project work.
Qualification in an engineering discipline or clear demonstration of relevant experience.",3 years,Emerson,London,1 week ago
Data & AI Value Strategy Senior Manager,"Act as subject matter expert for Responsible AI within a data science / data transformation team.
Interaction is with senior management levels at a client and…","Act as subject matter expert for Responsible AI within a data science / data transformation team.
Interaction is with senior management levels at a client and…",2-5 years,Accenture,York,3 hours ago
Export Operational Project Manager,"Experience in leading and managing cross functional projects.
Singles point of Contact for all Export enquiries and resolution of Export escalations from or…","Experience in leading and managing cross functional projects.
Singles point of Contact for all Export enquiries and resolution of Export escalations from or…",0 year,Nestle,London,1 week ago
Data Engineer,"Computer science background or similar, and a good understanding of data engineering.
In both cases, please apply for our general software engineer vacancy …","Computer science background or similar, and a good understanding of data engineering.
In both cases, please apply for our general software engineer vacancy …",2-4+ years,Samotics B.V.,Thuiswerken,2 days ago
Junior Big Data Engineer,"Support the build data pipelines to collect data from different sources using real time or batch technologies;
Experience of 1+ years in this area;","Support the build data pipelines to collect data from different sources using real time or batch technologies;
Experience of 1+ years in this area;",1 year,CodeImpact,London,2 days ago
Graduate Quant Analyst - Start September 2023,"You have a Master’s degree or PhD in Physics, Mathematics, Statistics Quantitative Finance, or equivalent.
The types of projects you will be working on range…","You have a Master’s degree or PhD in Physics, Mathematics, Statistics Quantitative Finance, or equivalent.
The types of projects you will be working on range…",1 year,Mathrix,Amsterdam,1 week ago
Junior Big Data Engineer,"Als gemotiveerde Junior Big Data Engineer draag jij bij door data te prepareren, waardoor de klant beter gebruik kan maken van zijn data.","Als gemotiveerde Junior Big Data Engineer draag jij bij door data te prepareren, waardoor de klant beter gebruik kan maken van zijn data.",3+ years,Capgemini,Utrecht,2 weeks ago
Data Engineer,"Share knowledge in our data engineering community, pair program and collaborate on code together with other data engineers within NN.
At NN we work hybrid.","Share knowledge in our data engineering community, pair program and collaborate on code together with other data engineers within NN.
At NN we work hybrid.",5+ years,NN Group,Thuiswerken in 2595 Den Haag,2 weeks ago
Azure Data Engineer,"Should have following data engineering skills:
Strong IT experience with 5+ years of data engineering the cloud.
Good exposure to Azure platform.","Should have following data engineering skills:
Strong IT experience with 5+ years of data engineering the cloud.
Good exposure to Azure platform.",7 years,Gazelle Global Consulting,London,3 hours ago
Graduate Engineer - Netherlands - 2023,Abbreviated references describing global or regional operational organizations and global or regional business lines are also sometimes used for convenience and…,Abbreviated references describing global or regional operational organizations and global or regional business lines are also sometimes used for convenience and…,1 year,ExxonMobil,Botlek,7 days ago
Data entry medewerker,"Draagt er zorg voor dat al onze data van het ene Excel document naar het andere Excel document wordt overgezet.
Een reiskostenvergoeding conform onze CAO-VVT.","Draagt er zorg voor dat al onze data van het ene Excel document naar het andere Excel document wordt overgezet.
Een reiskostenvergoeding conform onze CAO-VVT.",2 year,Korian Nederland,Nederland,2 days ago
Graduate Research Analyst,"As a graduate research analyst at IMC, you will.
Academic background in a relevant field (e.g. Economics/Econometrics, Finance or STEM).
WHAT DO WE LOOK FOR?","As a graduate research analyst at IMC, you will.
Academic background in a relevant field (e.g. Economics/Econometrics, Finance or STEM).
WHAT DO WE LOOK FOR?",1 year,IMC Financial Markets,Amsterdam,1 week ago
Technical Pathfinder Data,"Providing expertise on data modeling, data structures, and data warehousing.
Expert-level knowledge of data modeling, structures, and warehousing.","Providing expertise on data modeling, data structures, and data warehousing.
Expert-level knowledge of data modeling, structures, and warehousing.",5+ years,Jumbo Supermarkten,Thuiswerken in 5462 Veghel,3 weeks ago
Online Dutch language teacher,"Class type: Online - via Zoom or Teams.
Native or near-native written and spoken proficiency in the target language.
This is a remote position.","Class type: Online - via Zoom or Teams.
Native or near-native written and spoken proficiency in the target language.
This is a remote position.",3+ years,Global LT,London,2 weeks ago
Job opportunities with the ICRC,"They also offer paid traineeships in headquarters in Switzerland to help young graduates obtain a first work experience.
Job opportunities with the ICRC.","They also offer paid traineeships in headquarters in Switzerland to help young graduates obtain a first work experience.
Job opportunities with the ICRC.",5+ years,Rode Kruis,Nederland,6 days ago
Full-time Customer Service Associate (work from home) - Seasonal Contract,"We won’t ask you to read from a script or learn dialogue by heart.
Protecting your privacy and the security of your data is a longstanding top priority for…","We won’t ask you to read from a script or learn dialogue by heart.
Protecting your privacy and the security of your data is a longstanding top priority for…",3 years,Amazon.com,Thuiswerken in Nederland,1 week ago
Tech Artist,"Development and improvement of technologies to optimize artists’ work.
Understanding the technical limitations when creating content for game engines.","Development and improvement of technologies to optimize artists’ work.
Understanding the technical limitations when creating content for game engines.",5-8 years,MY.GAMES,London,2 days ago
Data Engineer,"Experience processing large amounts of data in realtime or near realtime.
Experience with Scala or Java.
Ability to optimize data processing and loading.","Experience processing large amounts of data in realtime or near realtime.
Experience with Scala or Java.
Ability to optimize data processing and loading.",1 year,MY.GAMES,Thuiswerken,2 days ago
Banking Analyst - Expert Graduate Programme - 2023,"Be motivated with a strong degree or expected degree – in any area.
After several weeks of intensive training to start, you’ll join one of our industry, product…","Be motivated with a strong degree or expected degree – in any area.
After several weeks of intensive training to start, you’ll join one of our industry, product…",1-2/2-3 years,Barclays,Amsterdam,1 week ago
Search Operations Quality Assurance - Turkish,"Bachelor’s degree or above.
Quality inspection of labeled data on time and ensure the quality;
It is possible that this role will be exposed to harmful content…","Bachelor’s degree or above.
Quality inspection of labeled data on time and ensure the quality;
It is possible that this role will be exposed to harmful content…",1 year,TikTok,Amsterdam,1 week ago
Data analyst customer insights,"As an all-round data analyst, you are in charge of your tasks on the Kanban board.
From home or our headquarters in Zwaagdijk, you can help improve the customer…","As an all-round data analyst, you are in charge of your tasks on the Kanban board.
From home or our headquarters in Zwaagdijk, you can help improve the customer…",6-8 years,Action,Thuiswerken in Zwaagdijk-Oost,4 weeks ago
Graduate Equity Analyst Programme - September 2023 Start,"Minimum of Bachelor's – preferably in a STEM, economics or business related subject from a top-tier university.
Attend regular corporate access meetings.","Minimum of Bachelor's – preferably in a STEM, economics or business related subject from a top-tier university.
Attend regular corporate access meetings.",2 years,Optiver,Amsterdam,3 weeks ago
Data Analyst (PowerBI),"Develop data structures as basis for dashboards in close collaboration with data engineers.
As a data analyst your job is to work with BI tools to create…","Develop data structures as basis for dashboards in close collaboration with data engineers.
As a data analyst your job is to work with BI tools to create…",3 years,Apollo IT,Thuiswerken,1 week ago
European Graduate Program,"Entry level work experience (up to 2 years) and/or an internship in relevant areas.
We aim to develop top diverse talent towards future expert and managerial…","Entry level work experience (up to 2 years) and/or an internship in relevant areas.
We aim to develop top diverse talent towards future expert and managerial…",1 year,Cargill,Schiphol,2 days ago
Junior Trading Analyst,"Has deep data analysis skill.
Running data models (yield, demand), collecting statistics and data from agencies and other reports, support Supply & Demand…","Has deep data analysis skill.
Running data models (yield, demand), collecting statistics and data from agencies and other reports, support Supply & Demand…",3 years,Shell,Rotterdam,1 week ago
Data Engineer,"Commercial experience in the area of data engineering or machine learning.
Exposure to real time data ingestion / streaming data sources.","Commercial experience in the area of data engineering or machine learning.
Exposure to real time data ingestion / streaming data sources.",5+ Years,Cloud Technology Solutions,Newport,6 days ago
Graduate Trader,"Strong interest in trading (Experience in real or simulated trading is a plus).
Technical background (Maths, Physics, Engineering, Econometrics, Quant Finance…","Strong interest in trading (Experience in real or simulated trading is a plus).
Technical background (Maths, Physics, Engineering, Econometrics, Quant Finance…",3+ years,DA VINCI DERIVATIVES,Amsterdam,2 days ago
Contract Analyst,"Bachelor’s degree or equivalent.
Advise management of contractual rights and obligations; compile and analyse data and maintain historical information.","Bachelor’s degree or equivalent.
Advise management of contractual rights and obligations; compile and analyse data and maintain historical information.",3-6 years,Medtronic,Nederland,1 day ago
"Data Analyst, Check-out and Payments","You have affinity for data mining in large scale retail environments or similar.
At least 3 years' work experience in a similar analyst role preferably within…","You have affinity for data mining in large scale retail environments or similar.
At least 3 years' work experience in a similar analyst role preferably within…",1-3 Years,Action,Nederland,5 days ago
Make-Up Artist / Visagist,Voor meerdere opdrachtgevers waaronder Estee Lauder MAC & L’Oreal Luxe zijn wij op zoek naar ervaren Make-Up ARTists.,Voor meerdere opdrachtgevers waaronder Estee Lauder MAC & L’Oreal Luxe zijn wij op zoek naar ervaren Make-Up ARTists.,2 years,Zeelz,Nederland,3 weeks ago
Cloud Spend Analyst,"Which enable data-led decisions.
We may ask you to travel occasionally to one of our offices (or a customer site) for specific meetings or team building/social…","Which enable data-led decisions.
We may ask you to travel occasionally to one of our offices (or a customer site) for specific meetings or team building/social…",5+ years,Cloud Technology Solutions,Newport,2 weeks ago
Investment analyst,"Prior experience with due diligence and/or deal structuring is preferred, as well as experience in the agriculture and/or cleantech domain.","Prior experience with due diligence and/or deal structuring is preferred, as well as experience in the agriculture and/or cleantech domain.",2 years,Innovation Industries,Eindhoven,3 weeks ago
Field Engineer Pipeline Process Services,"You will Participates in Phase 1 of the LEAD Field Engineer Development Program, learning how to run the product line’s tool(s) and/or services under…","You will Participates in Phase 1 of the LEAD Field Engineer Development Program, learning how to run the product line’s tool(s) and/or services under…",2 years,Baker Hughes,5692 Son,1 week ago
Robotics Engineer (All levels),"Masters/PhD in Robotics, Computer Science, or a related robotics-focused field.
Understanding of motion planning, control, perception, navigation, and/or…","Masters/PhD in Robotics, Computer Science, or a related robotics-focused field.
Understanding of motion planning, control, perception, navigation, and/or…",2 years,Honest AgTech,2628 Delft,2 weeks ago
Junior Data Engineer - YEPP,"A bachelor or master's degree, or an equivalent working / thinking level.
Develop, maintain and optimize reliable and robust data pipelines.","A bachelor or master's degree, or an equivalent working / thinking level.
Develop, maintain and optimize reliable and robust data pipelines.",2 years,Rabobank,3521 Utrecht,2 weeks ago
"Data Center Technician Apprentice, September 2023 Start","Familiarity with data centers or network operation center environment.
Experience with computer hardware and server hardware or troubleshooting/diagnosing.","Familiarity with data centers or network operation center environment.
Experience with computer hardware and server hardware or troubleshooting/diagnosing.",2 years,Google,Eemshaven,1 week ago
Junior Data Support,"Analyzing data and correcting data issues in our database or Front-end environment Charlie;
Helping us to maintain our pricing system using Excel or Google…","Analyzing data and correcting data issues in our database or Front-end environment Charlie;
Helping us to maintain our pricing system using Excel or Google…",2 years,Eco-Movement,3521 Utrecht,3 weeks ago
Jr. Analyst,"Bachelor's or master’s degree in climate or energy law, business, finance, economics, econometrics, engineering, quantitative studies or equivalent.","Bachelor's or master’s degree in climate or energy law, business, finance, economics, econometrics, engineering, quantitative studies or equivalent.",1 year,Caely Renewables,Amsterdam,2 weeks ago
Risk & Control Analyst - (Data and FP&A),"3+ years of previous work experience regarding one (ideally two) or more of these areas Risk Management, IT Audit, Financial Audit, and/or Internal Controls.","3+ years of previous work experience regarding one (ideally two) or more of these areas Risk Management, IT Audit, Financial Audit, and/or Internal Controls.",2 years,Booking.Com,Amsterdam,2 weeks ago
Senior Data Analyst,"5+ years of experience as a data analyst/data scientist in a tech company.
5 years industry experience in complex data analysis, data wrangling, and building…","5+ years of experience as a data analyst/data scientist in a tech company.
5 years industry experience in complex data analysis, data wrangling, and building…",3 years,Uber,1076 Amsterdam Zuid,1 month ago
Graduate Data Analyst,"Streamline data pipelines, conducting modelling and make visualisations.
Analyse and transform terabytes of raw market and trading data.","Streamline data pipelines, conducting modelling and make visualisations.
Analyse and transform terabytes of raw market and trading data.",3 years,Optiver,Amsterdam,1 month ago
Data analist (PowerBI / Python / SQL),"Develop data structures as basis for dashboards in close collaboration with data engineers.
As a data analyst your job is to work with BI tools to create…","Develop data structures as basis for dashboards in close collaboration with data engineers.
As a data analyst your job is to work with BI tools to create…",5 year,Apollo IT,Newport,2 weeks ago
Data Engineer,"You will work as an engineer and will design and build the data pipelines that support the ESG initiative and collaborate with data analysts, data scientists…","You will work as an engineer and will design and build the data pipelines that support the ESG initiative and collaborate with data analysts, data scientists…",2 year,ING,Thuiswerken in Amsterdam,3 weeks ago
Graduate Data Scientist,"Create and streamline data pipelines to extract, transform and load data streams from various sources into our SQL data warehouse.","Create and streamline data pipelines to extract, transform and load data streams from various sources into our SQL data warehouse.",3 year,Optiver,Amsterdam,1 week ago
Legal Regulatory Analyst,"Work with GRPC team members to roll out compliance requirements, including data protection and privacy issues.","Work with GRPC team members to roll out compliance requirements, including data protection and privacy issues.",4 year,Equinix,1101 Amsterdam-Zuidoost,6 days ago
Benelux Graduate class of,"We are able to advise on innovative cross-border and regional transactions in the US, Europe and Asia Pacific.
Starter’s training program in London.","We are able to advise on innovative cross-border and regional transactions in the US, Europe and Asia Pacific.
Starter’s training program in London.",5 year,Deutsche Bank,Amsterdam,1 week ago
Network Engineer| Remote |International opportunity | Salary up to 85k |,"You are a certified networking professional or equivalent (CCNA/ /PCNSE certifications highly preferred).
As a Network Engineer you provide technical competence…","You are a certified networking professional or equivalent (CCNA/ /PCNSE certifications highly preferred).
As a Network Engineer you provide technical competence…",6 year,Layer,Thuiswerken in Nederland,3 weeks ago
Workday Analyst – Multiple Locations,"Specific experience with Core HCM, Time Tracking, Absence, Recruiting, Talent & Performance, and/or Compensation will be a strong plus.","Specific experience with Core HCM, Time Tracking, Absence, Recruiting, Talent & Performance, and/or Compensation will be a strong plus.",1 year,Keylime Consultants,Thuiswerken in Nederland,4 weeks ago
Business Analyst of the new data warehouse,"Experience with analysis in a data environment.
The new Datawarehouse will be your focus area.
Participate in developments towards the cloud.","Experience with analysis in a data environment.
The new Datawarehouse will be your focus area.
Participate in developments towards the cloud.",2 years,APG,Thuiswerken in Amsterdam,3 weeks ago
Discover Trainee Data & Artificial Intelligence September 2023,"Als Discover Trainee voer je voorspellende analyses uit met verschillende data tools.
Een BSc- of MSc-diploma in technologie, AI of data;","Als Discover Trainee voer je voorspellende analyses uit met verschillende data tools.
Een BSc- of MSc-diploma in technologie, AI of data;",3 years,VodafoneZiggo,3511 Utrecht,1 week ago
Data Center Engineer,"Installing and cabling switches, servers, and appliances in our on-site data center.
Taking pride in maintaining a consistent and clean cable management…","Installing and cabling switches, servers, and appliances in our on-site data center.
Taking pride in maintaining a consistent and clean cable management…",4 years,Optiver,Amsterdam,2 weeks ago
(Junior) Data Engineer,You will work closely together with data scientists and/or analysts to translate data questions from the traders into the desired data structure.,You will work closely together with data scientists and/or analysts to translate data questions from the traders into the desired data structure.,5 years,Northpool,2312 Leiden,2 weeks ago
Content writer,"Wij zoeken een ervaren content writer die onze online content behoefte naar een volgend niveau kan brengen.
Je kunt kiezen voor een werkweek van 16 of 24 uur …","Wij zoeken een ervaren content writer die onze online content behoefte naar een volgend niveau kan brengen.
Je kunt kiezen voor een werkweek van 16 of 24 uur …",6 years,Dotlab.nl,Thuiswerken in Nederland,2 weeks ago
Risk Culture Reporting Analyst,"A background in data, business analytics or other relevant expertise.
You are enthusiastic about working with data, are skilled in data collection and analysis…","A background in data, business analytics or other relevant expertise.
You are enthusiastic about working with data, are skilled in data collection and analysis…",7 years,ING,Amsterdam,2 weeks ago
Data Intelligence Analyst,"Bachelor or masters or equivalent experience in a field such as Informatica or Business Analytics;
Familiarity with data integration and data preparation…","Bachelor or masters or equivalent experience in a field such as Informatica or Business Analytics;
Familiarity with data integration and data preparation…",8 years,Rabobank,Thuiswerken in 3521 Utrecht,6 days ago
Master Data Analyst,"Update of display contents in SAP.
Bachelor’s and/or master’s degree in business, IT, Supply Chain or related field.
SAP & PowerTools knowledge is desirable.","Update of display contents in SAP.
Bachelor’s and/or master’s degree in business, IT, Supply Chain or related field.
SAP & PowerTools knowledge is desirable.",9 years,L'Oreal,Thuiswerken in Hoofddorp,2 hours ago
Associate Consultant Genesis Graduate Program,"Also, you will be a fresh graduate or a graduate who has up to 2 years work experience in any engineering or relevant field.
Full / Part time: Full-time.","Also, you will be a fresh graduate or a graduate who has up to 2 years work experience in any engineering or relevant field.
Full / Part time: Full-time.",5 years,Siemens,5657 Eindhoven,2 days ago
Junior Business Analyst,"Bachelor’s or master’s degree.
As a Business Analyst, you’re definitely not just responsible for analyzing and collecting data.","Bachelor’s or master’s degree.
As a Business Analyst, you’re definitely not just responsible for analyzing and collecting data.",3 years,UPS Netherlands,Herkenbosch,3 days ago
Location Analyst,Identify and leverage various sources of data to generate location leads (eg. specific plots of land and ownership data) for Network Development team;,Identify and leverage various sources of data to generate location leads (eg. specific plots of land and ownership data) for Network Development team;,4 years,Fastned Charging,Nederland,2 days ago
Energy Transition Graduate Program: Technology & Product Development Zoetermeer,"You are contributing and supervising research and development of technologies allowing us to produce hydrogen, ethylene, and other chemicals with low CO2…","You are contributing and supervising research and development of technologies allowing us to produce hydrogen, ethylene, and other chemicals with low CO2…",5 years,Technip Energies,Zoetermeer,2 weeks ago
Data Engineer,"Data modellering (in R) en het ontsluiten van data uit databases, data warehouses en data lakes door middel van API’s en ETL tooling als Elastic, Airflow,…","Data modellering (in R) en het ontsluiten van data uit databases, data warehouses en data lakes door middel van API’s en ETL tooling als Elastic, Airflow,…",6 years,InnSpire,Thuiswerken,2 hours ago
Content Writer - Blockchain/Crypto,"Translate or extract high value information and compile high quality summary content.
Initiate and participate in projects and processes that continuously…","Translate or extract high value information and compile high quality summary content.
Initiate and participate in projects and processes that continuously…",7 years,Qredo,Thuiswerken in Amsterdam,2 days ago
Flight Test Engineer / Data Analyst,"Design and develop new data analysis scripts in python.
BSc/MSc math, physics or technical engineering discipline.
Monitor and control the Kitepower system.","Design and develop new data analysis scripts in python.
BSc/MSc math, physics or technical engineering discipline.
Monitor and control the Kitepower system.",8 years,Kitepower,Delft,2 weeks ago
Internship Data Catalog Consultant,"Some experience with data analytics / data management.
Interest/affinity with getting value out of data in the context of complex organizations.","Some experience with data analytics / data management.
Interest/affinity with getting value out of data in the context of complex organizations.",9 years,Schiphol,Schiphol,2 weeks ago
Data Engineer (junior),"Samen met je collega consultant ga je data verzamelen uit verschillende bronsystemen.
Je zorgt ervoor dat de verzamelde data in de oplossingen van Elastic komt.","Samen met je collega consultant ga je data verzamelen uit verschillende bronsystemen.
Je zorgt ervoor dat de verzamelde data in de oplossingen van Elastic komt.",5+ years,Puur Data,Ede,2 days ago
Head of Data + Analytics,"Inspire and mentor junior team members to develop greater data expertise.
Lead on multiple client briefs from premier consumer and automotive brands, supporting…","Inspire and mentor junior team members to develop greater data expertise.
Lead on multiple client briefs from premier consumer and automotive brands, supporting…",3 years,Hill+Knowlton Strategies,Amsterdam,2 weeks ago
Data Engineer,"At least 2+ years of experience as a data engineer or similar roles.
Collaborate with data scientists, analysts, engineers and other stakeholders to understand…","At least 2+ years of experience as a data engineer or similar roles.
Collaborate with data scientists, analysts, engineers and other stakeholders to understand…",1 year,felyx,Thuiswerken in Amsterdam,2 hours ago
Content Editor - Asia Pacific,"Well versed in responsive communication and rapid response situations by scanning external events or incidents.
12-month fixed term contract* / full time.","Well versed in responsive communication and rapid response situations by scanning external events or incidents.
12-month fixed term contract* / full time.",5+ years,Greenpeace International,Thuiswerken,3 days ago
Junior Project Engineer E-house,"Dat is natuurlijk afhankelijk van je ervaring.
Deze units zijn voorzien van elektrische power distributie systemen, voor zowel laag- als middenspanning.","Dat is natuurlijk afhankelijk van je ervaring.
Deze units zijn voorzien van elektrische power distributie systemen, voor zowel laag- als middenspanning.",3+ years,Siemens,2595 Den Haag,2 weeks ago
Hogeschooldocent Digitale Toepassingen en Data-Analyse,Je hebt een masterdiploma behaald aan een opleiding waarin data-analyse en digitale toepassingen voldoende vertegenwoordigd zijn;,Je hebt een masterdiploma behaald aan een opleiding waarin data-analyse en digitale toepassingen voldoende vertegenwoordigd zijn;,5+ years,Hogeschool Utrecht,Hybride werken in Utrecht,7 days ago
Data Analyst – Responsible Investments,"Experience in investment management and/or consulting (e.g. from internships or previous position) would be a plus.
The department currently consists of 15 FTE.","Experience in investment management and/or consulting (e.g. from internships or previous position) would be a plus.
The department currently consists of 15 FTE.",3 years,PGGM,Zeist,3 hours ago
Data Analyst,"Translate business needs into data requirements.
Experience with data visualization tools, preferably PowerBI.
Strong analytical and modeling skills.","Translate business needs into data requirements.
Experience with data visualization tools, preferably PowerBI.
Strong analytical and modeling skills.",5+ years,BDR Thermea Group B.V.,Apeldoorn,2 days ago
Shell Graduate Programme 2023 – Netherlands - Commercial,"Commuting/Homeworking allowance or public transport card.
To be eligible for the Shell Graduate Program, you must be pursuing or have completed a Master's…","Commuting/Homeworking allowance or public transport card.
To be eligible for the Shell Graduate Program, you must be pursuing or have completed a Master's…",3 years,Shell,Hybride werken in Amsterdam,1 day ago
Data & Process Steward,"Specialization in Project Management and/or Process Improvement (such as Lean or similar).
Bachelor’s degree in business or technical area.","Specialization in Project Management and/or Process Improvement (such as Lean or similar).
Bachelor’s degree in business or technical area.",1 year,Astellas,Thuiswerken in Nederland,2 weeks ago
Junior Business Analyst,"Certification in Business Analysis - BABOK, BCS or Equivalent.
By defining solid requirements, epics and user stories you assist Product Owners and Project…","Certification in Business Analysis - BABOK, BCS or Equivalent.
By defining solid requirements, epics and user stories you assist Product Owners and Project…",5+ years,Brainboss Associates,3584 Utrecht,3 days ago
Data engineer,Functie omschrijving Data engineer Ben jij een Data engineer die al vaker data gemigreerd heeft naar de azure cloud omgeving? Werk je graag procesmatig en…,Functie omschrijving Data engineer Ben jij een Data engineer die al vaker data gemigreerd heeft naar de azure cloud omgeving? Werk je graag procesmatig en…,3+ years,QRC BV,Nederland,2 weeks ago
Graduate Trader,"Work closely with IMC’s technology developers and engineers.
Genuine interest in financial markets, though no prior knowledge or experience is required.","Work closely with IMC’s technology developers and engineers.
Genuine interest in financial markets, though no prior knowledge or experience is required.",5+ years,IMC Financial Markets,Amsterdam,2 days ago
Technical Writer (f/m/d),"As a tech writer, you will be the first end-user of the API or product enhancement you just documented, verifying that it delivers the expected outcome.","As a tech writer, you will be the first end-user of the API or product enhancement you just documented, verifying that it delivers the expected outcome.",3 years,NewStore,Thuiswerken in Nederland,1 week ago
Junior Test Engineer - Attractions,"Minimum of 1 year of experience as Quality Assurance / Test / Quality engineering domain in web or mobile or similar job.
Knowledge of any automation framework.","Minimum of 1 year of experience as Quality Assurance / Test / Quality engineering domain in web or mobile or similar job.
Knowledge of any automation framework.",5+ years,Booking.Com,Amsterdam,7 days ago
Data Analyst Intern (Strategy & Corporate Development) - Amsterdam,"Have an interest in data, automation, and data visualisation.
Automating our data pipeline processes.
Familiarity with R (or another programming language) would…","Have an interest in data, automation, and data visualisation.
Automating our data pipeline processes.
Familiarity with R (or another programming language) would…",3 years,Atradius,1066 Amsterdam,2 days ago
Data Engineer,"Je hebt minimaal 3 jaar werkervaring in data engineering.
Je gaat jouw expertise voor bepaalde tijd inbrengen bij één van onze opdrachtgevers en je gaat ze…","Je hebt minimaal 3 jaar werkervaring in data engineering.
Je gaat jouw expertise voor bepaalde tijd inbrengen bij één van onze opdrachtgevers en je gaat ze…",1 year,The Human Network,Utrecht,2 weeks ago
Global Auditor,Have proven learning agility through either relevant work experience or participating in research or assignments with a relentless hunger for developing…,Have proven learning agility through either relevant work experience or participating in research or assignments with a relentless hunger for developing…,5+ years,Heineken Nederland,1072 Amsterdam Zuid,2 weeks ago
Data Engineer,". Before moving to a new role, make sure that you have exceeded the expectations in your current role.
Designing and building ETLs pipelines (PySpark can be…",". Before moving to a new role, make sure that you have exceeded the expectations in your current role.
Designing and building ETLs pipelines (PySpark can be…",3+ years,Adyen - INTERNAL JOBS,Amsterdam,1 week ago
Graduate UX Designer,"Bachelor's or equivalent in User Experience, Design, or STEM.
UX designers should be excellent communicators who are at ease working with a complex mix of…","Bachelor's or equivalent in User Experience, Design, or STEM.
UX designers should be excellent communicators who are at ease working with a complex mix of…",5+ years,Canonical - Jobs,Amsterdam,2 weeks ago
